Block   SS_time         SS_swaps        SS_compares     IS_time         IS_swaps        IS_compares
311     2.490000        31099           483589450       1.614000        241374068       241374068
312     2.510000        31199           486704400       1.562000        242957639       242957639
313     2.511000        31299           489829350       1.593000        244549590       244549590
314     2.533000        31399           492964300       1.586000        246188251       246188251
315     2.544000        31499           496109250       1.609000        247725106       247725106
316     2.566000        31599           499264200       1.653000        249415116       249415116
317     2.611000        31699           502429150       1.630000        250989807       250989807
318     2.599000        31799           505604100       1.628000        252590010       252590010
319     2.621000        31899           508789050       1.633000        254032431       254032431
320     2.634000        31999           511984000       1.662000        255555669       255555669
321     2.655000        32099           515188950       1.666000        257025058       257025058
322     2.670000        32199           518403900       1.688000        258696109       258696109
323     2.686000        32299           521628850       1.686000        260346617       260346617
324     2.705000        32399           524863800       1.709000        261918917       261918917
325     2.716000        32499           528108750       1.772000        263511044       263511044
326     2.737000        32599           531363700       1.731000        265027490       265027490
327     2.754000        32699           534628650       1.719000        266659739       266659739
328     2.770000        32799           537903600       1.743000        268187532       268187532
329     2.784000        32899           541188550       1.738000        269818560       269818560
330     2.802000        32999           544483500       1.753000        271322978       271322978
331     2.954000        33099           547788450       1.770000        273033074       273033074
332     2.891000        33199           551103400       1.786000        274690524       274690524
333     2.851000        33299           554428350       1.793000        276236135       276236135
334     2.873000        33399           557763300       1.838000        277977876       277977876
335     2.891000        33499           561108250       1.816000        279699342       279699342
336     3.029000        33599           564463200       1.853000        281475632       281475632
337     2.924000        33699           567828150       1.833000        283087345       283087345
338     2.961000        33799           571203100       1.904000        285038186       285038186
339     2.960000        33899           574588050       1.867000        286824550       286824550
340     2.991000        33999           577983000       1.868000        288498496       288498496
341     2.994000        34099           581387950       1.923000        290232904       290232904
342     2.997000        34199           584802900       1.883000        292003565       292003565
343     3.031000        34299           588227850       1.903000        293623593       293623593
344     3.026000        34399           591662800       1.955000        295490657       295490657
345     3.042000        34499           595107750       1.929000        297178111       297178111
346     3.077000        34599           598562700       1.963000        298915931       298915931
347     3.110000        34699           602027650       1.947000        300588555       300588555
348     3.116000        34799           605502600       1.965000        302350992       302350992
349     3.154000        34899           608987550       1.961000        304062291       304062291
350     3.144000        34999           612482500       2.042000        305805732       305805732
351     3.161000        35099           615987450       1.984000        307554550       307554550
352     3.189000        35199           619502400       2.002000        309396197       309396197
353     3.208000        35299           623027350       2.010000        311010151       311010151
354     3.229000        35399           626562300       2.017000        312808235       312808235
355     3.238000        35499           630107250       2.032000        314364001       314364001
356     3.245000        35599           633662200       2.050000        316105551       316105551
357     3.290000        35699           637227150       2.096000        317683354       317683354
358     3.354000        35799           640802100       2.080000        319518063       319518063
359     3.314000        35899           644387050       2.082000        321098804       321098804
360     3.347000        35999           647982000       2.100000        322977905       322977905
361     3.353000        36099           651586950       2.168000        324779501       324779501
362     3.364000        36199           655201900       2.116000        326723030       326723030
363     3.410000        36299           658826850       2.138000        328528131       328528131
364     3.398000        36399           662461800       2.146000        330327749       330327749
365     3.422000        36499           666106750       2.157000        332266644       332266644
366     3.440000        36599           669761700       2.165000        334043431       334043431
367     3.473000        36699           673426650       2.178000        335853264       335853264
368     3.483000        36799           677101600       2.391000        337670941       337670941
369     3.760000        36899           680786550       2.559000        339607224       339607224
370     3.620000        36999           684481500       2.449000        341482345       341482345
371     3.688000        37099           688186450       2.094000        343178118       343178118
372     2.993000        37199           691901400       1.851000        345085822       345085822
373     2.835000        37299           695626350       1.695000        347037553       347037553
374     2.704000        37399           699361300       1.869000        348904367       348904367
375     2.812000        37499           703106250       1.715000        350811435       350811435
376     3.532000        37599           706861200       2.277000        352783233       352783233
377     3.666000        37699           710626150       2.300000        354755854       354755854
378     3.656000        37799           714401100       2.515000        356546833       356546833
379     3.330000        37899           718186050       1.874000        358526022       358526022
380     2.847000        37999           721981000       1.748000        360236401       360236401
381     2.867000        38099           725785950       1.765000        362062150       362062150
382     2.832000        38199           729600900       1.786000        364056506       364056506
383     2.834000        38299           733425850       1.800000        366139453       366139453
384     2.914000        38399           737260800       1.843000        368069236       368069236
385     2.930000        38499           741105750       1.841000        369795629       369795629
386     3.233000        38599           744960700       1.822000        371797621       371797621
387     2.890000        38699           748825650       1.823000        373670980       373670980
388     2.918000        38799           752700600       1.847000        375612057       375612057
