Block   QS_time         QS_swaps        QS_compares     MS_time         MS_swaps        MS_compares
474     0.017000        440960          880558          0.010000        740264          677185  
475     0.010000        425920          880101          0.014000        741964          678826  
476     0.012000        430760          876622          0.015000        743664          680373  
477     0.003000        428402          916599          0.016000        745364          681812  
478     0.011000        462239          881104          0.015000        747064          683457  
479     0.015000        508900          908731          0.017000        748764          685209  
480     0.012000        435608          919304          0.015000        750464          686649  
481     0.010000        509613          893127          0.018000        752164          688161  
482     0.012000        537799          953598          0.014000        753864          689736  
483     0.007000        407726          895027          0.016000        755564          691072  
484     0.013000        511720          906260          0.015000        757264          693044  
485     0.011000        459508          878579          0.019000        758964          694447  
486     0.012000        464609          895435          0.016000        760664          696107  
487     0.012000        492394          929328          0.016000        762364          697502  
488     0.015000        459906          887084          0.013000        764064          699239  
489     0.011000        438830          925722          0.014000        765764          700528  
490     0.015000        463941          927493          0.010000        767464          702448  
491     0.013000        429308          894751          0.022000        769164          704007  
492     0.015000        487911          917276          0.022000        770864          705353  
493     0.016000        505278          950953          0.020000        772564          706881  
494     0.017000        437630          909213          0.025000        774264          708394  
495     0.026000        441291          914727          0.020000        775964          710127  
496     0.012000        461173          893425          0.021000        777664          711649  
497     0.018000        441203          922252          0.053000        779364          713315  
498     0.017000        438010          888930          0.023000        781064          715012  
499     0.017000        458517          965954          0.029000        782764          716581  
500     0.022000        532084          961209          0.020000        784464          718309  
501     0.013000        477641          972534          0.017000        786164          719739  
502     0.014000        540177          933372          0.019000        787864          721171  
503     0.014000        436882          930582          0.019000        789564          722877  
504     0.015000        502631          963111          0.018000        791264          724351  
505     0.018000        448657          977236          0.019000        792964          726029  
506     0.015000        482605          1015828         0.017000        794664          727870  
507     0.016000        472176          906488          0.018000        796364          729299  
508     0.012000        477958          928854          0.019000        798064          730692  
509     0.015000        516963          968537          0.014000        799764          732308  
510     0.014000        513098          998313          0.021000        801464          734067  
511     0.015000        557071          1073458         0.020000        803164          735658  
512     0.014000        507880          973716          0.022000        804864          737225  
513     0.015000        514652          934359          0.020000        806564          738857  
514     0.012000        511440          958722          0.022000        808264          740287  
515     0.015000        549264          978301          0.021000        809964          742007  
516     0.014000        470726          952890          0.021000        811664          743462  
517     0.015000        479999          964957          0.015000        813364          745173  
518     0.018000        471657          920285          0.017000        815064          746670  
519     0.011000        506312          1025641         0.023000        816764          748260  
520     0.014000        563912          997770          0.015000        818464          749817  
521     0.015000        519529          988933          0.016000        820164          751519  
522     0.014000        537323          1017649         0.022000        821864          753049  
523     0.016000        504134          990368          0.020000        823564          754487  
524     0.015000        478261          987137          0.020000        825264          756172  
525     0.017000        614744          1087642         0.020000        826964          757833  
526     0.014000        543382          1016619         0.022000        828664          759449  
527     0.017000        551178          995086          0.019000        830364          760828  
528     0.014000        525011          1015880         0.021000        832064          762468  
529     0.011000        519669          1010597         0.021000        833764          764008  
530     0.021000        516308          1042164         0.021000        835464          765616  
531     0.016000        549377          1127960         0.020000        837164          767190  
532     0.016000        560214          1044985         0.016000        838864          769006  
